% Model:              ellipsoidsi3n4.mph
% Version:            COMSOL 4.4.0.150
% Date:               Jun 7 2015, 12:29
% Dimension:          3
% Nodes:              1253
% Expressions:        1
% Description:        Temperature
% Length unit:        m
% x                       y                        z                        T (K)
-1.5104437290950594E-6    -6.085889904688669E-7    1.3430365581615024E-6    300
-1.1917398545400787E-6    -1.1702040338540072E-6   1.2384095166684971E-6    300
-1.0694777308254141E-6    -9.024814555920838E-7    1.1271735661538576E-6    302.296508658166
-1.3125657297499916E-6    -8.880716339522222E-7    1.4417960871733527E-6    300
-7.940683214932389E-7     -1.2152360037581657E-6   1.1809201273982112E-6    301.67700330736056
-9.01837166496457E-7      -1.2998129950728544E-6   1.4476811699445905E-6    300
-5.287800373536776E-7     -1.2496552953332528E-6   1.3911387605670893E-6    301.5012722909468
-6.257875196786135E-7     -1.3240755617980064E-6   1.6725833965016553E-6    300
-3.2441567659322204E-7    -1.4942207404857428E-6   1.555297830341922E-6     300
-2.9099010521700163E-7    -1.3449286390964472E-6   1.357395847896905E-6     301.51226748350206
-1.3875078929494033E-6    -3.9828437616002404E-7   8.943239535474067E-7     302.884944925565
-1.5539590397574364E-6    -2.3892277046901354E-7   6.817448675724746E-7     302.3473945832308
-1.5854538465167597E-6    -9.790371124243852E-8    7.215623949577614E-7     302.07088854383034
-1.8201118649604703E-6    0                        7.128912668786695E-7     300
-1.5116261960196137E-6    -7.775911414231587E-8    4.994555862114816E-7     303.50760552605345
-1.2888210422879623E-6    -1.5568775827689325E-7   3.0490290371723974E-7    307.1246474699007
-5.464014304860791E-7     -3.1360082374298477E-7   0                        329.9327626078421
-8.485558288361246E-7     -1.9911770774701772E-7   0                        318.43456826322887
-7.773521416867226E-7     -3.429944053342134E-7    1.9167563057264757E-7    318.6057057985911
-9.906516137957068E-7     -2.2948211708918364E-7   2.1950774179468586E-7    313.32365154183236
-9.855263406267783E-7     3.3296151355311774E-8    0                        314.74739241027584
-1.6495294318653477E-6    -3.076332144297911E-7    1.217689754916076E-6     300
-1.5173922172379473E-6    6.233386796908171E-8     8.919639357575974E-7     302.1900467947851
-1.7316004504822104E-6    0                        1.0603647398136386E-6    300
-1.435429757420205E-6     -1.828672911646215E-7    9.227254098102536E-7     302.73675011360655
-1.500923417673673E-6     -2.985727286056614E-8    1.1247669311141307E-6    301.51202197677515
-1.3631489048861702E-6    -3.163190148218605E-7    1.2323611163224498E-6    301.8601639391207
-1.5022897973990677E-6    -3.1532436285495894E-7   1.5436839006767977E-6    300
-1.756844302478473E-6     3.0563539339454545E-7    8.767455743719733E-7     300
-1.734497498298297E-6     5.657196522865712E-7     6.90953123367188E-7      300
-1.5403807422139158E-6    1.2307239126190062E-7    6.269688225329588E-7     302.7921859044837
-1.3892754949006224E-6    1.8644852311340826E-7    2.577143439295553E-7     305.6127391835425
-1.5189245146347233E-6    3.967545910089971E-7     7.149849773957613E-7     302.27313174297507
-1.0778111191886474E-6    7.497071504484598E-8     2.0426177591700137E-7    311.8034298290716
-1.160873588253446E-6     3.6857155263059304E-7    0                        309.1185687220474
-1.4626483483494068E-6    5.223637928706534E-7     3.6849274074562937E-7    303.34146596768636
-1.6672526698719076E-6    7.940434412414337E-7     5.632517683273257E-7     300
-1.6508071047144283E-6    8.969307365123411E-7     2.884514995118557E-7     300
-1.3855632926439879E-6    7.281127281366322E-7     0                        303.55983403231846
-1.572374593996245E-6     1.0486840005137996E-6    0                        300
-1.4461310490053173E-6    6.804852690352523E-7     5.856243145367738E-7     302.3364088999114
-3.2809708657618945E-7    -1.4514827416968552E-6   9.602943356724637E-7     302.2109797853918
1.048713523939125E-6      -1.5723549031581675E-6   0                        300
7.36098482149567E-7       -1.4262838097112244E-6   0                        303.0631144465373
7.203344071832787E-7      -1.747346058035031E-6    0                        300
8.970114099562985E-7      -1.6507447078599985E-6   2.88659630301206E-7      300
-5.043120200001354E-8     -1.5489826726689628E-6   3.021591722244841E-7     303.4987473674002
2.5691642012691374E-7     -1.8329683271547938E-6   5.355271112132393E-7     300
2.4535239488412977E-7     -1.6010231923793705E-6   2.676395562602746E-7     302.70670552452907
5.464683513864275E-7      -1.7942223428846065E-6   3.2604832378695167E-7    300
5.528897933743048E-7      -1.5405972362223282E-6   2.3183719172232692E-7    302.5541647845709
4.756210000427428E-8      -1.3288235705226873E-6   0                        307.0354257999033
3.7840401359302264E-7     -1.494271076720134E-6    0                        303.8669322472924
-6.106801188097839E-8     -1.5376246917739306E-6   9.452481001926675E-7     301.8245319425607
0                         -1.7316004504822104E-6   1.0603647398136386E-6    300
1.1025022496848983E-7     -1.5968763406883829E-6   7.590255094317608E-7     301.84112109622953
3.073191681938791E-7      -1.7559438090719578E-6   8.791244995762971E-7     300
1.25568411854527E-7       -1.550719266674683E-6    5.223466964028929E-7     302.9533489200166
-1.4516584468531083E-7    -1.4387884751161686E-6   1.2125716155096554E-6    301.59539671895607
-4.7543740896562475E-7    -9.738511487120965E-7    3.6908207031590444E-7    310.880435407745
-2.3522298504944426E-7    -8.33315415353625E-7     0                        318.6540688937604
-3.1359037733467975E-7    -5.464074259563793E-7    0                        330.0459302817899
-4.1358471582018177E-7    -6.927085101876101E-7    2.482215363959108E-7     319.8019540884791
-4.523797026631021E-7     -4.045331757571834E-7    2.3678430709675976E-7    329.6463654472122
1.070076591288816E-8      -1.2040656695421554E-6   2.8170812340885393E-7    308.8349508567564
-1.4932162716062303E-7    -9.7138081395425E-7      2.941114429912383E-7     313.74226845168323
7.721138475673657E-9      -1.0108706390068962E-6   0                        313.9579566427859
2.39679741599178E-7       -1.1563972646599143E-6   0                        309.83544724470016
-2.1304290247498066E-7    -5.75346203291886E-7     2.0039799750194456E-7    330.29387014959406
-5.711598260360745E-8     -7.610240226675174E-7    1.8739360637371805E-7    321.9387728948516
0                         -6.3E-7                  0                        330.27080823671196
1.3364431228749871E-6     -1.3364205099145048E-6   0                        300
9.152840868570401E-7      -1.2178192068476807E-6   0                        304.1112859552908
1.1889305413326645E-6     -1.4535368015112061E-6   2.9953108636069813E-7    300
0                         -1.6055470030912518E-6   1.3960175536333129E-6    300
-3.447118100206631E-8     -1.3212692833222497E-6   1.4318822285714922E-6    301.55172095434796
-1.1962252133095282E-6    -5.157053740464953E-7    1.088933616394921E-6     303.28569150549987
-5.717325086891333E-7     -2.1404784652626587E-7   2.1781344654262344E-7    329.91468368732706
-7.19883137742222E-7      -5.020101032678629E-7    3.769037433078526E-7     316.0950278667813
-8.068007548294933E-7     -2.5418001215410914E-8   1.7388864336714532E-7    320.3747306415077
-8.250529159371432E-7     2.399676159196772E-7     0                        318.9187725411296
-6.3E-7                   0                        0                        330.3043103285158
-1.3410756171559929E-6    -6.16259258122518E-7     1.6528544409783931E-6    300
-1.2132599787668174E-6    -6.466771442075009E-7    1.3274622846558582E-6    301.63944644370355
-1.2352558160661762E-6    -4.453628101334554E-7    1.5109274615146043E-6    301.28596528392706
-9.094301746806969E-7     -9.983377514474234E-7    1.394725636663825E-6     301.5284760334109
-1.1031323329131037E-6    -1.0705697094791378E-6   1.5394141497094913E-6    300
-1.1373529095086372E-6    -8.752473548794561E-7    1.7217555102096093E-6    300
-9.94756931315265E-7      -8.189958524435997E-7    1.5176715240292965E-6    301.3923633419571
-9.033928078762244E-7     -1.1011899197096898E-6   1.7392498104062756E-6    300
-3.337984284777363E-7     -1.2044961645660564E-6   1.577323274807636E-6     301.35892558534675
-6.118535846198245E-7     -1.0743982570030783E-6   1.6727885293982765E-6    301.0513228394994
-6.298274188439914E-7     -1.1165124409692298E-6   1.944346185122691E-6     300
-1.1350917995892774E-6    -6.220676286513063E-7    1.9280894701499358E-6    300
-1.0567737161023721E-6    -6.284322878049176E-7    1.6047812429092465E-6    301.35234641861314
-8.977254709795205E-7     -8.868445785156057E-7    1.9698232199189E-6       300
-8.539395936974847E-7     -7.021209525333E-7       1.8003252792158575E-6    301.12370609669074
-3.2434406493152234E-7    -1.3026173246272025E-6   1.8626257017781488E-6    300
0                         -1.439900438988919E-6    1.7139492358290326E-6    300
1.362494327034628E-7      -1.4205420376437918E-6   1.270082864394965E-6     301.5116074377131
3.081930556916153E-7      -1.6495232121660337E-6   1.217428773021188E-6     300
2.23955317504718E-7       -1.5064243001862392E-6   1.0053716037768808E-6    301.75296623742264
6.054087592448502E-7      -1.633972958614862E-6    1.024693468945818E-6     300
-1.021375786928864E-6     -4.303523740431308E-7    1.8097728379177291E-6    301.0761877994401
-8.705313728892968E-7     -6.434804804410186E-7    2.1689646562840686E-6    300
-6.126205658486933E-7     -7.130460991980793E-7    2.018996910029322E-6     300.85343869044453
-6.122535499193733E-7     -8.882342131970107E-7    2.172611268338201E-6     300
-1.5153122450008453E-6    2.5281402694957395E-7    1.017094483737925E-6     301.6064022101179
-1.6055470030912518E-6    0                        1.3960175536333129E-6    300
-1.6505924785139387E-6    3.0830024304790915E-7    1.2145316145820293E-6    300
-1.277679689409057E-6     -6.304543619839539E-8    1.3805780746217714E-6    302.0398047279669
-1.3013597220631499E-6    2.1198611798555066E-7    1.2097229320054236E-6    302.55807746359284
-1.310732107698121E-6     -3.164480481946147E-7    1.854110641331956E-6     300
-1.2027146820835452E-6    -2.1095482154419787E-7   1.6189205240791474E-6    301.33724646097903
-1.439900438988919E-6     0                        1.7139492358290326E-6    300
-1.635132155281329E-6     6.043457860999469E-7     1.0222962637870755E-6    300
-5.104661745926571E-7     -2.203004625121562E-7    4.148159857030478E-7     328.81260697393526
-7.706705018628407E-7     -2.1405676950521572E-7   4.7581906788280107E-7    317.22346520685284
-4.90976516659363E-7      -5.661477627065066E-7    5.139273078036278E-7     318.1572996867647
-5.876584073068914E-7     0                        3.17888177850246E-7      329.0764413564547
-9.120004147936398E-7     -7.299877766085806E-8    3.776390409490353E-7     315.02121912038905
-1.5965191404573434E-6    8.266268407812777E-7     8.162308573537802E-7     300
-1.3043761979388624E-6    6.246080234384769E-7     7.735287426825924E-7     303.34043112326094
-9.433483143959842E-7     4.121596560082288E-7     2.2650290490045581E-7    312.95296867887214
-8.19705138580485E-7      4.815789116435852E-7     0                        315.7804250069535
-1.1705501518419844E-6    6.156618392831804E-7     4.0627744815727794E-7    306.37911019532913
-5.464024677588232E-7     3.1359901644736445E-7    0                        330.1481249362104
-7.059076731485435E-7     4.172784646671226E-7     1.80766124541248E-7      319.78172718161215
-9.810828473076963E-7     7.544776933512728E-7     0                        308.71195018632477
-6.433575525596178E-7     6.540155442936842E-7     0                        316.7736523592485
-1.3791702743936012E-6    8.895479006964411E-7     3.330889995035384E-7     302.3761602160893
-1.2473008796543162E-6    1.000929665457251E-6     0                        303.13472287369774
-1.529863538705047E-6     1.03088086444688E-6      5.753679732709514E-7     300
-1.336445603340801E-6     1.3364180294021142E-6    0                        300
