%x,Curve1
0.742902,0.573194
0.796663,0.61597
0.857152,0.6673
0.910935,0.718631
0.964696,0.761407
1.0185,0.821293
1.06558,0.872624
1.11936,0.923954
1.17317,0.98384
1.22026,1.04373
1.26734,1.09506
1.31444,1.15494
1.36156,1.22338
1.40866,1.28327
1.44905,1.34316
1.49617,1.4116
1.53656,1.47148
1.57696,1.53137
1.61737,1.59981
1.65778,1.66825
1.7049,1.73669
1.74532,1.80513
1.78573,1.87357
1.82615,1.94202
1.86654,2.0019
1.91364,2.06179
1.96074,2.12167
2.00781,2.173
2.06162,2.23289
2.1758,2.30133
2.23623,2.327
2.29663,2.34411
2.36371,2.35266
2.43073,2.33555
2.49105,2.31844
2.55807,2.30133
2.61834,2.26711
2.67865,2.25
2.9466,2.13023
3.00687,2.09601
3.06716,2.07034
3.12745,2.04468
3.19445,2.01901
3.25474,1.99335
3.32174,1.96768
3.38206,1.95057
3.44235,1.9249
3.50937,1.90779
3.57639,1.89068
3.63668,1.86502
3.69697,1.83935
3.76399,1.82224
3.82431,1.80513
3.89133,1.78802
4.07227,1.73669
4.13929,1.71958
4.2465,1.68536
4.31354,1.67681
4.40737,1.65114
4.46766,1.62548
