%x,Curve1
0.744346,5.26784
0.81131,5.26803
0.864831,5.19388
0.91842,5.21879
1.0456,5.14485
1.10583,5.09549
1.16604,5.00898
1.2263,4.99676
1.27312,4.91021
1.32666,4.86083
1.91522,3.80996
1.96204,3.73579
2.06895,3.38938
2.11581,3.36475
2.16929,3.24107
2.25621,3.0432
2.31639,2.90716
2.31648,3.04336
2.60398,2.40028
2.66422,2.35091
2.71104,2.27675
2.76459,2.23975
2.83144,2.07896
3.20616,1.67138
3.25971,1.63438
3.31996,1.60978
3.40696,1.53573
3.46721,1.51113
3.50067,1.47407
3.56091,1.43709
3.62116,1.41249
3.77512,1.32624
3.822,1.33875
3.87556,1.31414
3.9358,1.27715
4.1032,1.26523
4.15677,1.253
4.37113,1.36503
4.43141,1.38996
